ID,Title,Description,ISBN,ISBN13,PageCount,FirstAuthor,SecondAuthor,ThirdAuthor,Rating,NumberofRatings,NumberofReviews,Publisher,PublishDate,Format,Language,FileName
2981,"John G. Paton, Missionary to the New Hebrides: An Autobiography", ,1113157801, ,400,Paton John Gibson, , ,5.00,4,0,BiblioLife,July 18th 2009,Paperback,English,3690-22754225-john-g-paton-missionary-to-the-new-hebrides.html
2982,The Autobiography and Memoirs of Benjamin Robert Haydon 1786-1846,Kessinger Publishing is the place to find hundreds of thousands of rare and hard-to-find books with something of interest for everyone,1430498226,9781430498223,688,Benjamin Robert Haydon,Alexander P. D. Penrose, ,4.50,2,1,Kessinger Publishing,March 1st 2007,Paperback,English,3691-7591504-the-autobiography-and-memoirs-of-benjamin-robert-haydon-1786-1846.html
2983,"In Review Pictures I've Kept A concise Pictorial ""Autobiography""", ,, ,237,Dwight D.Eisenhower, , ,4.33,3,1,Doubleday,1969,Hardcover,English,3692-21807276-in-review-pictures-i-ve-kept-a-concise-pictorial-autobiography.html
2984,Writing for The Soul: An Autobiography and Guide for the Broken Down,"Writing for The Soul: An Autobiography and Guide for the Broken Down is the story of author Dylon J. Serpa's journey through depression. It reveals the ugliness of mental health disorders including raging fits during basketball games, striking ones parent and more. The story also follows the story of a younger teens terrible struggle through depression and how writing therapy allowed her to express herself. The book also doubles as a guide, showing the beneficial components of writing therapy.",, ,83,Dylon J. Serpa, , ,2.50,2,0, , ,Kindle Edition,English,3693-21338508-writing-for-the-soul.html
2985,Goodbye to Winter: The Autobiography of Sophie Schmidt-Rodolfo, ,9711003112,9789711003111,252,Sophie Schmidt-Rodolfo,Dolores S. Feria, ,5.00,2,0,New Day Publishers,August 1st 1987,Paperback, ,3694-5699854-goodbye-to-winter.html
2986,Miss Aunt Nellie: The Autobiography of Nellie C Cornish, ,0295738480,9780295738482,303,Ellen V. Browne,Edward N. Beck, ,4.00,2,1,Univ of Washington Pr,June 1st 1965,Hardcover, ,3695-5615243-miss-aunt-nellie.html
2987,Uwe Rosler - My Autobiography: Knocking Down Walls,"Uwe Rosler's passion and determination is never far from the surface, and it's that drive that changed the path he seemed set to follow. Destined for an unremarkable career in East Germany, where the Berlin Wall presented a greater mental boundary than the bricks and mortar that formed the physical division between two different worlds, Uwe was 25 and heading nowhere. Then, a chance for the raw talent that had been contained in his repressive surrounds was to be set loose, as he was offered the chance of a loan at struggling English Premier League club, Manchester City. The contrast between 'Madchester' and his homeland could not have been more marked. The mullet-haired striker was an instant hit, his goals helping City survive relegation and winning him a permanent deal. Voted Player of the Year in his first full season in England, over the next four years Rosler wrote his name into City folklore and became a terrace idol. The fans loved his raw passion, commitment and the fact he wore his heart on his sleeve - that, plus his goals. However, once he fell out with boss Alan Ball, there was only going to be one winner. For three successive years he finished top scorer, and stayed with City when they were relegated. Unfortunately another relegation resulted in severe cut-backs and he had to move on, initially returning to Germany and a first stint in the Bundesliga with Kaiserslautern. He soon returned to England with Southampton before a spell with West Bromwich Albion brought an end to his playing days in a country he called his second home. He finished his playing career with Norwegian side Lillestrom, where he soon faced a bigger battle than anything he'd faced in football. Diagnosed with chest cancer, Uwe was forced to reassess his life and ambitions as he began receiving treatment. Was it time to leave the game if the chemotherapy was successful? Lifted by an incredible show of affection from the City fans, who he listened to on a mobile phone singing his name during a home game while stricken in hospital, Rosler made a remarkable recovery. After being given a clean bill of health, he moved into management with Lillestrom. He remained there for two years, then enhanced his reputation further with Viking, where he remained for four years. He then had a short spell with Molde, saving the club from relegation before being replaced by returning superstar Ole Gunnar Solkjaer. Undeterred, Uwe decided to try his hand in England, where he had recently been voted into the Manchester City Hall of Fame. Brentford offered him that chance - and he immediately made an impact. He guided the Bees to their highest finish in six years in his first season, then came within a coat of paint of guiding his side to promotion a year later - only to see his dream turn to dust in a matter of 30 crazy seconds on the final day of the 2012/13 campaign. No matter. His dream is to manage in the Premier League, and Uwe will keep going until he succeeds. There's not been a wall built yet he hasn't scaled and almost 15 years since he left City, the fans still regularly sing his name. Now read his fascinating life story -",1908695226,9781908695222,288,Uwe Rosler, , ,3.00,2,1,Trinity Mirror Sport Media,October 31st 2013,Hardcover,English,3696-18817108-uwe-rosler---my-autobiography.html
2988,I've Been Marching All the Time: An Autobiography, ,0929264878,9780929264875,261,Xernona Clayton,Hal Gulliver, ,3.00,2,1,Longstreet Press,May 1st 1991,Hardcover,English,3697-3279311-i-ve-been-marching-all-the-time.html
2989,To Beg I am Ashamed: the autobiography of a London prostitute, ,0824097246,9780824097240,283,Sheila Cousins, , ,3.00,1,0,Dissertations-G,July 1st 1979,Hardcover,English,3698-3818372-to-beg-i-am-ashamed.html
2990,There's Only One Simon Garner: An Autobiography, ,1903158362,9781903158364,158,Simon Garner, , ,3.60,5,1,Parrs Wood,2002, , ,3699-4247794-there-s-only-one-simon-garner.html
2991,Napoleon on Napoleon: An Autobiography of the Emperor,"This is an illustrated ""autobiography"" of the Emperor Napoleon compiled from his commentaries and memoirs dictated on St Helena, edited and put into chronological order. The text spans his childhood in Corsica to exile on St Helena and covers family feuds, divorce from Josephine, retreat from Moscow, Waterloo and more - all in his own words. Napoleon was in inveterate writer, he dictated obsessively and edited his own scripts. He was also very aware of his position as one of history's great leaders. The book should be useful to military enthusiasts, historians and writers.",0304344559,9780304344550,288,Napoléon Bonaparte,Somerset De Chair, ,3.96,28,2,Cassell,September 1st 1994,Paperback,English,370-3059227-napoleon-on-napoleon.html
2992,Unlocking Adventure: The Autobiography of a World-famous Locksmith,"Charles Courtney's fingers (which have been insured for $100,000.00) have led him into adventures as fantastic, entertaining, and nerve-tingling as any in our day. Mr. Courtney is the world's highest paid safe-cracker. His jobs take him wherever there is a safe no one else can crack. The safes of Kaiser Wilhelm, the chests that held the crown jewels of the Romanoffs, the strong-boxes that ex-King Alfonso of Spain brought with him when he escaped to France, are but a few which have yielded to Mr. Courtney's fingers. Some of his most spine-chilling adventures have been on the floor of the sea. he unlocked the safes of the Egypt , topedoed during WWI with a cargo of gold and diamonds, and was hired by sir Basil Zaharoff to work on the wreck of the British cruiser Hampshire . The team of divers found the gold she was carrying but met a catastrophe that killed all but Charles Courtney.",, ,335,Charles Courtney,Tom Johnson, ,3.00,3,1,Whittlesey House,1942,Hardcover,English,3700-12802164-unlocking-adventure.html
2993,From Hull to Hell and Back: The Autobiography of Lee Crooks,"An archetypal blood-and-guts front-rower, Lee Crooks made his name with his beloved Hull before going on to become the most expensive rugby league player in the world when he signed for Leeds. This book is a colourful and controversial story of a modern-day rugby league colossus.",0956252680,9780956252685,339,Lee Crooks,Vince Groak, ,4.33,3,0,Scratching Shed,August 1st 2011,Paperback,English,3701-12317039-from-hull-to-hell-and-back.html
2994,"Past Tenses: Essays on Writing, Autobiography and History", ,1854890212,9781854890214,224,Carolyn Steedman, , ,1.00,1,0,Rivers Oram Press,June 1st 1992,Paperback,English,3702-2048426.Past_Tenses.html
2995,What a Life! An Autobiography E.V.L G.M.,"What A Life! is a classic of proto-Surrealist humour. The life story of a fictitious Edwardian English nobleman, illustrated with pictures cut out from a store catalogue.",, ,128,Edward Verrall Lucas,G. Morrow, ,4.50,2,0,HarperCollins Publishers Ltd,1987,Hardcover,English,3703-17282372-what-a-life-an-autobiography-e-v-l-g-m.html
2996,Nova: My Story: The Autobiography Of Nova Peris, ,0733311660,9780733311666,314,Nova Peris, , ,3.00,4,0,Dogwise Publishing,January 1st 2003,Hardcover,English,3704-2116950.Nova.html
2997,The Furrow Behind Me: The Autobiography of a Hebridean Crofter,"Angus MacLellan was regarded throughout his own lifetime as one of Scotland's finest traditional Gaelic storytellers. Reminiscences of his life were first recorded - on tape in Gaelic - in the early years of the 1960s and later transcribed and translated by John Lorne Campbell into this English-language biography. Born in 1869 into a poverty-stricken crofting community on South Uist, Angus MacLellan spent his childhood and his youth with his family before travelling from the island to find work first in the militia and then on the farms of the mainland. His travels came to an end when he returned to assist and eventually to succeed, his parents on their croft on South Uist in 1896. Angus MacLellan's memory for detail and his gift for telling should bring to the reader a vivid picture of a harsh lifestyle encompassing two centuries of dramatic change. The companion volume, Stories from South Uist by Angus MacLellan, is also available from Birlinn Ltd.",1874744270,9781874744276,212,Angus MacLellan,John Lorne Campbell, ,3.67,3,0,Birlinn Ltd,February 1st 2002,Paperback,English,3705-2928079-the-furrow-behind-me.html
2998,Lancelot Hogben: Scientific Humanist: An Unauthorized Autobiography,"Hogben escaped from a background of religious bigotry by the academic ladder and gained a major scholarship at Cambridge and graduated in 1916. During a noteworthy academic career, he found time to be active in the Fabian Society and in the London Labour Party. He also founded the Journal of Experimental Biology along with Julian Huxley and J.B.S. Haldane. He is most widely known for Mathematics for the Million and Science for the Citizen, and he played a big part in creating The Loom of Language.",0850364701,9780850364705,254,Lancelot Hogben,Adrian Hogben,Anne Hogben,0.00,0,0,Merlin Press,January 1st 1998,Hardcover,English,3706-379300.Lancelot_Hogben.html
2999,Science as Autobiography: The Troubled Life of Niels Jern,"This biography probes the unusual mind, the dramatic life, and the outstanding scientific work of Danish-born immunologist Niels Jerne (1911-1994). Jerne's Nobel Prize-winning achievements in the field of immunology place him in the pantheon of great 20th-century biomedical theorists, yet his life is perhaps even more interesting than his science. The volume tells Jerne's story, weaving together a narrative of his life experiences, emotional life and extraordinarily creative scientific work.",0300094418,9780300094411,400,Thomas Söderquist,Niels Kaj Jerne,David Paul,4.00,2,0,Yale University Press,March 11th 2003,Hardcover,English,3707-6033084-science-as-autobiography.html
3000,All Things Being Equal: The Autobiography of Lenny Moore,"He played with a quiet confidence. Statistically, he had few peers. Even now, almost forty years after his first professional contest, his impressive body has withstood the test of time. He was Marshall Faulk before there was a Marshall Faulk. He could catch, he could run, he could block--he did everything. In his complete autobiography, All Things Being Equal, Hall of Fame running back Lenny Moore shares his entire story. Moore recounts many fascinating life experiences, beginning with his upbringing in a blue-color family of thirteen in Reading, Pennsylvania. He explores his standout, yet challenging time in Happy Valley playing for an already legendary coach in Penn State's Rip Engle, and one in-training--Joe Paterno. He also delves into his professional football career with the Baltimore Colts that saw him reach new heights as the MVP of the NFL in 1964. Throughout his amateur and professional career, Moore's toughest competitor was often racism, which battled Moore tooth for tooth. But, as Moore would learn, life would pose other significant battles once his spikes were hung up. Other immortals who played with him--like Johnny Unitas, Gino Marchetti, and Raymond Berry--would easily transition into life after football. Some became businessmen; others carved a new career path as coaches or general managers--but not Moore. In great detail, he describes his difficulties in shifting from having fame and notoriety to not being able to find employment in the town in which he was once celebrated. But Moore eventually found his calling, working with troubled Maryland juveniles, and establishing the Leslie Moore Schorlarship Foundation benefiting underprivileged youths. Today, he also workstoward finding a cure for Scleroderma, after his son passed away of the disease in 2001. Ultimately, All Things Being Equal is the touching journey of one man's self-discovery that, unfortunately, all things are seldom equal.",1582617813,9781582617817,202,Lenny Moore, , ,4.00,1,0,Sports Publishing LLC,August 1st 2005,Hardcover,English,3708-1345202.All_Things_Being_Equal.html
3001,Autobiography of Samuel S. Hildebrand: The Renowned Missouri Bushwhacker,"Most Civil War historians now agree that the guerrilla conflict shaped the entire war in significant ways. Some of these “bushwhackers”—Nathan Bedford Forrest, William Clarke Quantrill, John Singleton Mosby—have become quite infamous. Illiterate Sam Hildebrand, one of Missouri’s most notorious guerrillas—often compared to “Rob Roy,” and the subject of dime novels—was one of the few to survive the war and have his story taken down and published. Shortly after this he was killed in a barroom brawl. “I make no apology to mankind for my acts of retaliation; I make no whining appeal to the world for sympathy. I sought revenge and I found it; the key of hell was not suffered to rust in the lock while I was on the war path.” —Sam Hildebrand Hildebrand’s reign of terror gave the Union army fits and kept much of the Trans-Mississippi, especially Missouri, roiling in the 1860s. Over seven years of fighting he and his men killed dozens of soldiers and civilians, whites and blacks; he claimed to have killed nearly one hundred himself. He was accused of many heinous acts. The historical significance of Hildebrand’s story is substantial, but his bloody tale is eminently readable and stands quite well on its own as a cold-blooded portrait of a violent time in American history. Like the nightmarish and depraved world of the Kid in Cormac McCarthy’s novel Blood Meridian, Hildebrand’s world is truly ruthless and his story is brutally descriptive in its coolly detached rendering of one man’s personal war. Published in 1870, Hildebrand’s autobiography has long been out of print and has been a rare and highly prized acquisition among Civil War",1557287996,9781557287991,280,Samuel S. Hildebrand, , ,4.00,4,0,University of Arkansas Press,November 1st 2005,Hardcover,English,3709-1051548.Autobiography_of_Samuel_S_Hildebrand.html
3002,Wonderful Today: The Autobiography of Pattie Boyd,"A Q&A with Pattie Boyd, Author of Wonderful Tonight Why are you writing the book now? I have been asked for the last 15 years to write a book, and it is only now that I feel the time is right. My confidence in myself was restored after two successful exhibitions of my photography, and it occurred to me that I was finally ready to take a look at the unique experiences of my life and to share them--including all the ups and downs. Tell us about the first time you met George Harrison. Working as a model, I occasionally went for castings, mainly for television commercials. I went for an interview with one of the directors I had worked with in the past, and he cast me in his first movie, A Hard Day's Night , to play the part of a schoolgirl. When I first saw George on the set, I thought he was the best-looking man I'd ever seen. I was so surprised when he asked me out on a date at the end of my first day of filming. Tell us about the first time you heard George Harrison's song, ""Something."" George said he had written a song for me, and he played it on the guitar at home without the words. Then when I heard the song after it had been recorded I couldn't believe how utterly beautiful it was. It was released on a single in October 1969, and I felt so thrilled and flattered. Tell us about the first time you heard Eric Clapton's ""Layla."" Eric invited me to his band's flat one day and played a rough recording of ""Layla"" on a cassette recorder. I was sitting on a sofa and he on the floor as it played, and he kept looking up at me for a reaction. I was stunned; the intensity, passion and tenderness came across so strongly--I knew, as he said, it was written for me.",0755316428,9780755316427,0,Pattie Boyd,Penny Junor, ,3.64,7616,804,Headline Review,August 23rd 2007,Hardcover,English,371-1822319.Wonderful_Today.html
3003,American Women's Autobiography: Fea(s)ts of Memory,"This is the first collection of essays to focus exclusively on the contribution of American women to the writing of autobiography. The Authors trace traditions of women's life-writing through three and a half centuries, from the narratives of Puritan women to contemporary multicultural literature. Contributors to the volume are major scholars in their fields: Sidonie Smith, Catharine Stimpson, Ann Gordon, Mary Mason, Nancy Walker, Kathleen Sands, Arlyn Diamond, and others whose essays all appear here for the first time. Reflecting recent theoretical approaches to autobiography, these essays draw upon work in literature, history, American studies, and religion, and treat both canonical writers of autobiography—Harriet Jacobs, Elizabeth Cady Stanton, Gertrude Stein, Mary McCarthy, Maxine Hong Kingston, and others—as well as lesser known and unknown writers. Through these lives we glimpse the wider worlds of which they were a part, including the abolition and suffrage movements, western frontier life, and the struggle for civil rights in the twentieth century. In her introduction, Margo Culley traces the dominant tradition of American women's autobiography back to the Puritan practice of ""reading the self."" Writing as women and expecting to be judged as such, authors from all periods exhibit ambivalence about the first person singular, yet give themselves ""permission"" to write in the hope that their stories will be useful to others, particularly other women. Such purpose allows these writers to indulge all the pleasures of autobiography—pleasures of language and imagination, of narrative, of reminiscence, and even egotism. Together these essays explore gender and genre as culturally inscribed, the construction of self within language systems, the nature of female subjectivity, and the shaping forces of memory and narrative as writers engage in the making of meaning and the making of history. Grounded in the multicultural reality that is America, these essays celebrate women's lives, women's autobiographical writing (including criticism), and the fea(s)ts of reading women's writing.",0299132943,9780299132941,352,Margo Culley, , ,4.00,1,0,University of Wisconsin Press,October 15th 1992,Paperback,English,3710-1476072.American_Women_s_Autobiography.html
3004,Dior by Dior Deluxe Edition: The Autobiography of Christian Dior,"Christian Dior (1905–1957) rocketed to fame with his first collection in 1947 when the “New Look” took the world by storm. This charming autobiography gives fascinating and detailed insight into the workings of a great fashion house, while revealing the private man behind the high-profile establishment. It is also a unique portrait of classic Paris haute couture of the 1950s. Dior details his childhood in Granville, the family and friends closest to him, and his most difficult years and sudden success, as well as his sources of inspiration and creative processes.",1851778691,9781851778690,208,Christian Dior, , ,0.00,0,0, , ,Hardcover, ,3711-24945102-dior-by-dior-deluxe-edition.html
3005,The Autobiography of Ozaki Yukio: The Struggle for Constitutional Government in Japan,"Ozaki Yukio, who was returned to his seat in the Japanese Diet twenty-five times, served in that body from its inception in 1890 to 1953. He was several times a cabinet member and, for ten years, mayor of Tokyo. A strong advocate of representative government, he both witnessed and propelled Japan's transformation from a late feudal society to a modern state. His autobiography, available in English for the first time, gives an insider's account of key episodes and leaders over seven decades of Japanese history. Ozaki's political life spanned the Meiji rise to power and Japan's defeat in World War II, and he played a significant role in each phase of that epic. As a young reporter, he gained preeminence with incisive calls for supremacy in East Asia. A European trip that showed him the devastation of World War I converted him to advocacy of arms reduction and international cooperation. He watched with dismay as Japan encountered isolation and military disaster. Known for the courage of his convictions, he became a marked man, carrying a death poem in his pocket. His sturdy independence survived the American Occupation, as he deplored his associates' readiness to heed occupation dictates. Ozaki's story reverberates with the immediacy of his personal knowledge of every major Japanese political figure for three-quarters of a century. It is the account of a man who made history as well as writing it. His story is the story of modern Japan. Through it, readers will gain first-hand knowledge of Japanese constitutional history, one with rich relevance for contemporary Japanese politics.",0691050953,9780691050959,480,Yukio Ozaki,Yukio Ozaki, ,3.50,2,0,Princeton University Press,April 9th 2001,Hardcover,English,3712-1399458.The_Autobiography_of_Ozaki_Yukio.html
3006,"In Review Pictures I've Kept A concise Pictorial ""Autobiography""", ,, ,237,Dwight D.Eisenhower, , ,4.33,3,1,Doubleday,1969,Hardcover,English,3713-21807276-in-review-pictures-i-ve-kept-a-concise-pictorial-autobiography.html
3007,Writing for The Soul: An Autobiography and Guide for the Broken Down,"Writing for The Soul: An Autobiography and Guide for the Broken Down is the story of author Dylon J. Serpa's journey through depression. It reveals the ugliness of mental health disorders including raging fits during basketball games, striking ones parent and more. The story also follows the story of a younger teens terrible struggle through depression and how writing therapy allowed her to express herself. The book also doubles as a guide, showing the beneficial components of writing therapy.",, ,83,Dylon J. Serpa, , ,2.50,2,0, , ,Kindle Edition,English,3714-21338508-writing-for-the-soul.html
3008,Goodbye to Winter: The Autobiography of Sophie Schmidt-Rodolfo, ,9711003112,9789711003111,252,Sophie Schmidt-Rodolfo,Dolores S. Feria, ,5.00,2,0,New Day Publishers,August 1st 1987,Paperback, ,3715-5699854-goodbye-to-winter.html
3009,Miss Aunt Nellie: The Autobiography of Nellie C Cornish, ,0295738480,9780295738482,303,Ellen V. Browne,Edward N. Beck, ,4.00,2,1,Univ of Washington Pr,June 1st 1965,Hardcover, ,3716-5615243-miss-aunt-nellie.html
3010,Uwe Rosler - My Autobiography: Knocking Down Walls,"Uwe Rosler's passion and determination is never far from the surface, and it's that drive that changed the path he seemed set to follow. Destined for an unremarkable career in East Germany, where the Berlin Wall presented a greater mental boundary than the bricks and mortar that formed the physical division between two different worlds, Uwe was 25 and heading nowhere. Then, a chance for the raw talent that had been contained in his repressive surrounds was to be set loose, as he was offered the chance of a loan at struggling English Premier League club, Manchester City. The contrast between 'Madchester' and his homeland could not have been more marked. The mullet-haired striker was an instant hit, his goals helping City survive relegation and winning him a permanent deal. Voted Player of the Year in his first full season in England, over the next four years Rosler wrote his name into City folklore and became a terrace idol. The fans loved his raw passion, commitment and the fact he wore his heart on his sleeve - that, plus his goals. However, once he fell out with boss Alan Ball, there was only going to be one winner. For three successive years he finished top scorer, and stayed with City when they were relegated. Unfortunately another relegation resulted in severe cut-backs and he had to move on, initially returning to Germany and a first stint in the Bundesliga with Kaiserslautern. He soon returned to England with Southampton before a spell with West Bromwich Albion brought an end to his playing days in a country he called his second home. He finished his playing career with Norwegian side Lillestrom, where he soon faced a bigger battle than anything he'd faced in football. Diagnosed with chest cancer, Uwe was forced to reassess his life and ambitions as he began receiving treatment. Was it time to leave the game if the chemotherapy was successful? Lifted by an incredible show of affection from the City fans, who he listened to on a mobile phone singing his name during a home game while stricken in hospital, Rosler made a remarkable recovery. After being given a clean bill of health, he moved into management with Lillestrom. He remained there for two years, then enhanced his reputation further with Viking, where he remained for four years. He then had a short spell with Molde, saving the club from relegation before being replaced by returning superstar Ole Gunnar Solkjaer. Undeterred, Uwe decided to try his hand in England, where he had recently been voted into the Manchester City Hall of Fame. Brentford offered him that chance - and he immediately made an impact. He guided the Bees to their highest finish in six years in his first season, then came within a coat of paint of guiding his side to promotion a year later - only to see his dream turn to dust in a matter of 30 crazy seconds on the final day of the 2012/13 campaign. No matter. His dream is to manage in the Premier League, and Uwe will keep going until he succeeds. There's not been a wall built yet he hasn't scaled and almost 15 years since he left City, the fans still regularly sing his name. Now read his fascinating life story -",1908695226,9781908695222,288,Uwe Rosler, , ,3.00,2,1,Trinity Mirror Sport Media,October 31st 2013,Hardcover,English,3717-18817108-uwe-rosler---my-autobiography.html
3011,I've Been Marching All the Time: An Autobiography, ,0929264878,9780929264875,261,Xernona Clayton,Hal Gulliver, ,3.00,2,1,Longstreet Press,May 1st 1991,Hardcover,English,3718-3279311-i-ve-been-marching-all-the-time.html
3012,To Beg I am Ashamed: the autobiography of a London prostitute, ,0824097246,9780824097240,283,Sheila Cousins, , ,3.00,1,0,Dissertations-G,July 1st 1979,Hardcover,English,3719-3818372-to-beg-i-am-ashamed.html
3013,John Major: The Autobiography,"Major's early life was extraordinary; his rise through Parliament meteoric. Soon a favourite of Margaret Thatcher, he became Foreign Secretary and then Chancellor of the Exchequer. When Thatcher fell, he fought and won a shrewd campaign to succeed her.",0002570041,9780002570046,774,John Major, , ,3.68,88,8,HarperCollins,October 11th 1999,Hardcover,English,372-1937854.John_Major.html
3014,"Gary Player, World Golfer: His Autobiography", ,0720708710,9780720708714,157,Gary Player, , ,4.00,4,0,Pelham Bks.,November 10th 1975,Hardcover,English,3720-2980906-gary-player-world-golfer.html
3015,Sing As We Go: The Autobiography of Gracie Fields, ,, ,216,Gracie Fields, , ,3.33,3,0,Doubleday,1961, ,English,3721-6659108-sing-as-we-go.html
3016,"Don Francisco Life, Camera, Action!: Autobiography", ,9700514528,9789700514529,323,Don Francisco,Mario Kreutzberger, ,3.60,5,1,Grijalbo Mondadori Sa,March 1st 2002,Paperback, ,3722-1961608.Don_Francisco_Life_Camera_Action_.html
3017,A Dropped Glove in Regent Street: An Autobiography by Other Means,"A collection spanning the career of Don Coles, this compilation of personal essays and reviews combines published prose with vital new pieces that explore the genres of biography and translation. Summing up decades of reading and adventurous travel while investigating the influences on his writing, this assemblage presents Coles as one of Canada’s most incisive literary critics, revealing his unconventional assessments of Graham Greene, Thomas Mann, Leo Tolstoy, Victor Hugo, Robert Frost, Albert Camus, George Orwell, and many others. Passionate and progressive, the book is at once a personal memoir and discriminating literary criticism.",1550652222,9781550652222,144,Don Coles, , ,4.00,1,0,Véhicule Press,September 1st 2007,Paperback,English,3723-1784614.A_Dropped_Glove_in_Regent_Street.html
3018,THE AUTOBIOGRAPHY OF A PING PONG BALL: MY LIFE WITH ADHD,"It has been estimated that between one and seven percent of children and between two and five percent of adults live with the medical neurological disorder known as attention deficit hyperactivity disorder (ADHD). Although ADHD is thought to be genetic in origin, its precise cause is currently unknown. Typical symptoms for children and adolescents with ADHD include inattention, hyperactivity and impulsiveness. Because they are easily distracted and have trouble focusing in school, children with ADHD often have difficulty paying attention, following instructions and completing assignments. Their hyperactivity is often displayed in non-stop motion and constant talking. Their impulsivity and impatience lead to blurting out inappropriate comments and an inability to wait and take turns. These behaviors can contribute to conflicts with friends and classmates and ongoing frustration for parents and other caregivers. About one-third to one-half of patients diagnosed with ADHD as children continue to demonstrate symptoms into adulthood, including disorganization in their work and personal lives, relationship problems, and drug and alcohol abuse. Ongoing impulsiveness and restlessness can lead to frequent job changes. The majority of articles and books about ADHD focus on children and are written for parents or professionals working in the field. Far fewer deal with adult ADHD, and only a handful are autobiographies written by adults who are living with the condition. This book is part of that handful. Although the behaviors associated with ADHD have been documented for centuries, they were generally viewed in moralistic terms, as willful misbehavior deserving punishment, or as a form of mental illness Acknowledgement of a distinct medical condition is relatively recent. The term “hyperkinetic syndrome” emerged in the late 1950s, and medications like Ritalin were prescribed. The term “Attention deficit disorder” (ADD) began to be used in 1980, and the broader term “attention deficit hyperactivity disorder” (ADHD) emerged in 1987 and has gradually eliminated the use of “ADD” to describe the condition. Larry Lee was born in 1941, but he wasn’t diagnosed with ADHD until the early 1980s when he was over 40 years of age. This is the Larry Lee’s story, which he finished writing when he was 74 years old. Other than some editing for length and clarity, it is told in his own words and in his own way.",, ,203,Larry Lee,Russ Gourluck,Mike Theuer,3.00,1,0, , ,Kindle Edition,,3724-25747800-the-autobiography-of-a-ping-pong-ball.html
3019,Life of Benjamin Franklin on the Basis of His Autobiography (1851),"This scarce antiquarian book is a selection from Kessinger PublishingAcentsa -a centss Legacy Reprint Series. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment to protecting, preserving, and promoting the world's literature. Kessinger Publishing is the place to find hundreds of thousands of rare and hard-to-find books with something of interest for e",1164302299,9781164302292,262,Benjamin Franklin, , ,2.33,3,0,Kessinger Publishing,September 10th 2010,Hardcover,English,3725-10546468-life-of-benjamin-franklin-on-the-basis-of-his-autobiography.html
3020,Late-Medieval Prison Writing and the Politics of Autobiography,"Boethius' Consolation of Philosophy has long been taken as one of the seminal works of the Middle Ages, yet despite the study of many aspects of the Consolation's influence, the legacy of the figure of the writer in prison has not been explored. A group of late-medieval authors, Thomas Usk, James I of Scotland, Charles d'Orleans, George Ashby, William Thorpe, Richard Wyche, and Sir Thomas Malory, demonstrate the ways in which the imprisoned writer is presented, both within and outside the Boethian tradition. The presentation of an imprisoned autobiographical identity in each of these authors' texts, and the political motives behind such self-presentation are examined in this study, which also questions whether the texts should be considered to from a genre of early autobiographical prison literature.""",0199271291,9780199271290,237,Joanna Summers, , ,4.00,2,0,Oxford University Pres,September 1st 2004,Hardcover,English,3726-679039.Late_Medieval_Prison_Writing_and_the_Politics_of_Autobiography.html
3021,The Times of Our Lives: A Guide to Writing Autobiography and Memoir,"A friendly guide, built around the practical and enjoyable exercises on the special craft of writing about oneself. The book is also full of wisdom on the craft of writing in general, and on the pleasures of memory and reflection.",093678475X,9780936784755,64,Mary Jane Moffat, , ,0.00,0,0,Daniel & Daniel Publishers,March 1st 1989,Paperback,English,3727-770167.The_Times_of_Our_Lives.html
3022,The Autobiography of a Neurasthene: As Told by One of Them (1910),"Excerpt from The Autobiography of a Neurasthene: As Told by One of Them This is the biography of a physician. The actual conditions are recorded. It does not matter whether it was really a man or a woman. The complete exhaustion of supreme nerve centres as in this case rarely befalls a woman. So far as the fulfillment of professional duties, the achievement of a definite purpose with this tremendous handicap is concerned, it was done. The physician whose story is told, and also the physician in attendance both knew from their own experience the worst of this condition without a pathology, but which evidences a definite pathological physiology. Never for one moment did either the one or the other abate their interest in their professional work, nor their manifold duties in relation to life. The physician in attendance did not know from his own experience the anguish of pain, inability and all it meant to keep up courage and activity until after fully eight years of attendance upon the patient whose biography is recorded. There had been premonitions as early as at the time of his patients complete break. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",0548858187,9780548858189,248,Margaret Abigail Cleaves, , ,5.00,1,0,Kessinger Publishing,February 1st 2008,Paperback,English,3728-3597211-the-autobiography-of-a-neurasthene.html
3023,Les Brownlee: The Autobiography of a Pioneering African-American Journalist,"Raised by a single mother in a racist Chicago suburb, Les Brownlee overcame hardships to become a journalism pioneer and educator. Though he lived in an era when most people of color were held back in both career and education, Brownlee played football for the University of Wisconsin, fought as an artillery officer in World War II, and launched a career in journalism that spanned 60 years. Throughout his life, Brownlee opened many new doors for the African American community, breaking into daily news reporting and television reporting and becoming a TV executive-all firsts for a person of color.",1933338296,9781933338293,220,Les Brownlee,John Kass, ,5.00,3,0,Marion Street Pres,September 1st 2007,Paperback,English,3729-6695005-les-brownlee.html
